Name der Klinik,Message,bewertungen,Title,Datum der Bewertung,fachbereich,Gesamtzufriedenheit,Textuell Gesamtzufriedenheit,Qualität der Beratung,Textuell Qualität der Beratung,Mediz. Behandlung,Textuell Mediz. Behandlung,Verwaltung und Abläufe,Textuell Verwaltung und Abläufe,Ausstattung und Gestaltung,Textuell Ausstattung und Gestaltung,Pro,Kontra,Krankheitsbild,Privatpatient,Erfahrungsbericht,Nutzername,Berichtet als,Behandlungsjahr,Daumen
Augenklinik - Dr. Hoffmann,,23 Bewertungen,super Klinik,16.03.2021,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,4,zufrieden,sehr freundliches Personal,,Grauer Star beide Augen,,Meine Laser OP grauer Star hat super geklappt. Alles lief wie am Schnürchen ab. Danke dafür.,Reinhard75,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Ich war sehr zufrieden mit allem,20.01.2021,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Nur gutes.,,"Augenoperation,Linse erneuert",nein,Bin sehr zufrieden gewesen mit der Klinik und dem Personal. Die erste OP verlief sehr gut +die  zweite folgt in 3 Wochen. Werde die Klinik auf jeden Fall weiterempfehlen,Auge122020,berichtet als Patient,Jahr der Behandlung: 2020,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Endlich wieder klare Sicht,16.11.2020,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"
",,Grauer Starr,nein,Komptentes Ärzteteam.,Auge1611,berichtet als Patient,Jahr der Behandlung: 2020,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Beste Augenklinik,22.03.2020,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,alles super organisiert,keine Parkplätze,Diabetisches Makulasyndrom,nein,"Ich komme seit einen halben Jahr mit meiner behinderten Frau hier zum Augen-Spritzen auf Grund eines diabetischen Makulasyndroms. Ich kann bis jetzt nur positiv berichten - auch wenn das Wartezimmer sehr voll ist - waren wir immer sehr schnell dran und innerhalb einer Stunde fertig. Hier wird der Patient noch als Mensch betrachtet und nicht als Nummer, es wird mit Namen aufgerufen - Kinder mit Vornamen. Bei Behinderungen werden die Patienten von den immer netten Schwestern betreut und es wird geholfen. Von den Ärzten bekommt man alles genau erklärt - hier fühlt man sich in guten Händen - Danke an das gesamte Ärzte und Schwesternteam.",Sabschu,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 20,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,ich war ringsherum zufrieden,14.11.2019,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,6,sehr zufrieden,"
",,Grauer Star - neue Linse,ja,Ich war Anfang November 2019 zur Augen-OP (Grauer Star)in der Klinik und zunächst wegen negativer Meinungen voller Bedenken. ,R.Pape,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Akute und wiederholte Netzhautoperation,11.11.2019,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,2,weniger zufrieden,Kompetenz und Empathie der Ärzte und des Pflegepersonals,Unterbringung in Drei-Bettzimmer,Akute Netzhautablösung und Netzhautrisse,nein,Trotz extrem hoher Patientenfrequenz erfolgte die Behandlung/Untersuchung in angemessener Zeit.  Ausführliche Untersuchung durch mehrere Ärzte mit entsprechend verständlicher und detaillierter Aufklärung über Behandlung- und OP-Verlauf.  Klinikaufenthalt durch akute Behandlung leider nur in Drei.Bettzimmer möglich gewesen.  Dennoch versuchen sowohl Ärzte aus auch das umsichtige und sehr nette Pflegepersonal den Aufenthalt den Umständen entsprechend angenehm zu machen.,TAV63,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Perfekte Klinik für Augenerkrankte!,30.07.2019,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Die Professionalität und Digitalisierung ist hervorragend!,NIX!,Glaukom,nein,"Diese Klinik ist NUR zu empfehlen!!! Das gesamte Team: Ärzte, Helferinnen, Pflege- und Hauswirtschaftspersonal arbeiten ausnahmslos professionell!!!",smmMA,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Hohe Kompetenz und Freundlichkeit!!,23.07.2019,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"
",,Star- Behandlung,nein,"Sehr nettes und kompetentens Personal!! Kurze Wartezeiten trotz hoher Frequentierung. Gute Aufklärung durch die Ärzte!!!! Im OP- Bereich nette, heitere und gelassene Atmosphäre trotz Stress. Meine Mutter fühlt sich dort als Mensch und nicht nur als Patient und Nummer!! Alle Mitarbeiter sehr geschult und emphatisch!",Lönni2905,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 2018-19,Daumen hoch
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Arzt und Schwestern waren eine Zumutung,19.09.2020,Entbindung,2,weniger zufrieden,2,weniger zufrieden,2,weniger zufrieden,2,weniger zufrieden,2,weniger zufrieden,Die Hebammen waren sehr freundlich und zuvorkommend.,"Die Schwestern auf Station sind unfreundlich, gemein und unverschämt. Mein zweites Kind würde ich ungerne im Marienstift bekommen wollen.",Entbindung,nein,Ich habe meine Tochter vor 15 Monaten bekommen.,Wunschkind2019,berichtet als Patient,Jahr der Behandlung: 2019,Daumen runter
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Gute Behandlung,08.01.2019,Augen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"
",,Glaskörpertrübung,nein,"Freundliches Personal, keine lange Wartezeit, kompetente Behandlung",Kleine2,berichtet als Patient,Jahr der Behandlung: 2018,Daumen hoch
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Geburt sek.  Sectio,21.07.2020,Entbindung,2,weniger zufrieden,0,unzufrieden,2,weniger zufrieden,2,weniger zufrieden,0,unzufrieden,Manche Hebammen sind sehr hilfsbereit,"Zu wenig Personal, teilweise sehr überfordertes, unfreundliches Personal (Hebamme)",Geburt,,"- Die Kreißsäle sind sehr veraltet, z.B. Ist die Toilette teilweise sehr weit weg und 2 Kreißsäle sind sehr klein",295389,berichtet als Patient,Jahr der Behandlung: 2020,Daumen runter
Augenklinik - Dr. Hoffmann,,23 Bewertungen,"Nette Arzthelferinnen, unangenehme Ärztinnen",31.10.2018,Augen,2,weniger zufrieden,0,unzufrieden,2,weniger zufrieden,4,zufrieden,4,zufrieden,"offene Sprechstunde, nette Arzthelferinnen, schnelle Hilfe","unangenehme Atmosphäre im Sprechzimmer, wenig Aufklärung",,nein,"Dass es bei einer offenen Sprechstunde einer Augenklinik zu langen Wartezeiten kommt, ist verständlich, trotzdem ist es toll, dass es so eine Möglichkeit gibt. Allerdings war ich nach zwei Stunden Warten auf einer Bank oberhalb einer zugigen Treppe schon sehr durchgefroren.",Blackbird18,berichtet als Patient,Jahr der Behandlung: 2018,Kein Info
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Beispielhaft in Niedersachsen,23.03.2020,Innere,6,sehr zufrieden (Exzellent),6,sehr zufrieden (Exzellent),6,sehr zufrieden (Exzellent),6,sehr zufrieden (Exzellent),6,sehr zufrieden,Exzellent,,,ja,Mein besonderer Dank gilt allen:,Heraklitos,berichtet als Patient,"Jahr der Behandlung: 2019,2020",Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Genervte Mitarbeiter in der Anmeldung,28.01.2018,Augen,4,zufrieden,6,sehr zufrieden,6,sehr zufrieden,0,unzufrieden,4,zufrieden,Kompetenz der Ärzte,Siehe oben!,,,"Die Schwestern in der Anmeldung habe ich zum wiederholten Male als sehr unfreundlich (genervt) und anmaßend erlebt. Zum Teil wurden sogar Anweisungen der Ärzte nicht ausgeführt. Bei allem Respekt, dass täglich so viele Patienten behandelt werden, sollte man doch diesen Mitarbeitern einmal klar machen, dass sie es mit kranken Menschen zu tun haben und dass man ihnen Respekt zollt. Schließlich kommen diese Menschen nicht aus Jux und Tollerei in die Klinik. Der Ton den Assistenzärzten gegenüber lässt auch zu Wünschen übrig, so dass es den Patienten sogar peinlich ist. ",Adna49,berichtet als Angehöriger eines Patienten,Jahr der Behandlung: 17,Kein Info
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Kompetentes nettes Entbindungsteam,02.08.2019,Entbindung,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,"Gute Dammnaht, leckeres Essen","Zu viele Meinungen zum ""richtigen"" Stillen",Entbindung,nein,"Die Geburt hat sich sehr in die Länge gezogen doch das Hebammenteam hat mich hierbei ganz toll unterstützt. Auch der Anesthesist war bei dem legen der dann irgendwann notwendigen PDA sehr angenehm und machte trotz des Trubels an dem Tag einen entspannten Eindruck. Das nähen nach der Geburt war zwar nicht sehr schön, aber ich habe bereits am nächsten Tag wieder auf auf meinem Damm sitzen können. Der Dammschnitt ist sehr gut und ohne Komplikationen verheilt.",sunnyguapa,berichtet als Patient,Jahr der Behandlung: 19,Daumen hoch
Asklepios Fachklinikum Göttingen,,62 Bewertungen,Mir wurde geholfen,08.03.2021,Psychiatrie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,2,weniger zufrieden (Toiletten und Duschen auf dem Flur),"Ärzte, Pflegepersonal, Psychologen",Internet,Depression und Sucht,nein,"Ich war im Jan.21 für 6 Wochen auf Station 7 oben.Dieser Aufenthalt hat mir viel gebracht. Die psychlogische Betreung war sehr gut.Auf 8 Patienten kamen 2 Psychologinnen. Es gab nur Einzelzimmer, sodass man sich immer zurück ziehen konnte. Ich habe dort in der Ergotherapie das malen mit Acryl für mich entdeckt. Das Pflegepersonal war top. Man konnte jederzeit zu Ihnen kommen. Falls es mir wieder schlecht geht, gehe ich gerne wieder auf die Station. Nachteil war, dass man für den Internetzugang zahlen musste. Der Empfang war dabei eher bescheiden. In der heutigen Zeit sollte WLAN umsonst sein und überall verfügbar sein. Doch das nur am Rande und soll die professionelle und umfassende Betreuung in keinster Weise schmälern.",Köu,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Immer wieder!,31.10.2017,Augen,6,sehr zufrieden,4,"zufrieden (Ich habe nicht nach einer Beratung gefragt und allein die Aussage, dass die Sehkraft wieder hergestellt werden kann, reichte mir.)",6,sehr zufrieden (So weit ich es beurteilen kann. Ich habe nämlich einen anderen Beruf und da könnte ich die Qualität einer Arbeit beurteilen.),4,zufrieden (Hoher Andrang und trotzdem freundliche Behandlung.),4,zufrieden (Es kann immer besser sein. Ich habe mich eine Nacht wohl gefühlt.),"Op gelungen, Sehkraft wieder vorhanden.",,Grauer Star,nein,"Ich habe die Klinik aufgesucht, um schnell eine Diagnose zu bekommen. Andere Augenärzte wollten einen Termin in 6 - 8 Monaten geben. Ich bin um 07.15 Uhr in der Klinik gewesen und so gegen 09.30 Uhr mit OP-Termin (grauer Star) wieder raus. Hätte es bis zum Abend gedauert, wäre es für mich auch ok gewesen. Schneller als ein Termin in 6 - 8 Monaten.",Chmielnik,berichtet als Patient,Jahr der Behandlung: 1917,Kein Info
HEH Herzogin Elisabeth Hospital,,82 Bewertungen,Unzumutbar,17.03.2021,Diabetes,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,"
",Aufenthalt war verschwendete Zeit,,ja,Als Privatpatient Unterbringung im 3-Bett Zimmer!,NCC1701,berichtet als Patient,Jahr der Behandlung: 2021,Daumen runter
DIAKOVERE Annastift,,83 Bewertungen,Inkompetent und unverschämt,19.03.2021,Orthopädie,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,0,unzufrieden,Eine viel versprechende Internet Seite,In der Realität absolut inkompetent und oberflächlich,Fußengpasssyndrom,ja,"Es ist wirklich unglaublich mit welcher Inkompetenz und Unkenntnis ich in der angeblich hoch spezialisierten Fußambulanz der orthopädischen Abteilung des renommierten Anastift ""untersucht"" und  ohne qualifizierte Diagnose wieder zu meinem Hausarzt geschickt worden bin. ",Fußengpasssyndrom,berichtet als Patient,Jahr der Behandlung: 2020,Daumen runter
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Sehr zufrieden,29.07.2019,Plastische Chirurgie,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,Sehr familiär,Essen bei Hitze,Brustverkleinerung,nein,Vielen Dank an die Schwestern der Station C2. Sehr freundlich und hilfsbereit. Trotz des heißen Wetters waren alle sehr lieb.,Mai1864,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
Asklepios Fachklinikum Göttingen,,62 Bewertungen,Mein Erleben auf der St. 9,01.02.2021,Psychosomatik,4,zufrieden,4,zufrieden,4,zufrieden,4,zufrieden,4,zufrieden,"gute Th., Bemühungen der Pfl. nach den TT Sitzungen...",,"k PTBS, Depression",nein,"Hallo, ich war im Dez. 20 und Januar 21",Gudi6,berichtet als Patient,Jahr der Behandlung: 20 und 21,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,OP      B ereich freundlich und zuvorkommend,04.08.2017,Augen,4,zufrieden,4,zufrieden,4,zufrieden,2,weniger zufrieden,4,zufrieden,"
",,30 Prozent Sehkraft auf beiden Augen,nein,"In der Anmeldung ist Chaos...Nachdem ich 1 Std. im Wartezimmer saß, meldete ich mich erneut bei der Anmeldung und fragte, wie lange es dauere. Ich war zur 2. OP des Auges bestellt und sagte es nun auch..Die Dame daraufhin:  Sie müssen sagen, was sie wollen...Es stand auf der Überweisung.  Im OP-Bereich waren alle zuvorkommend und nett, in der Anmeldung total überfordert..",Grit4,berichtet als Patient,Jahr der Behandlung: 2017,Kein Info
HEH Herzogin Elisabeth Hospital,,82 Bewertungen,"Wenn schon OP, dann HEH",17.03.2021,Schmerztherapie,6,"sehr zufrieden (Personal, Ärzte und Prof`s. , alle nett)",6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden (Sehr sauberes Krankenhaus),Man wird als Patient ernst genommen,,"Rheuma, Arthrose",ja,"Aufgrund meiner Rheumaerkrankung bin ich ständiger Gast der Klinik. Ob Rheumathologie, Orthopädie oder jetzt die Schmerztherapie, ich fühle sehr gut aufgehoben. Alle Ärtze nehmen sich viel Zeit und mich als Patienten ernst.",Didi0602,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
DIAKOVERE Annastift,,83 Bewertungen,Hüft-TEP,09.03.2021,Orthopädie,6,sehr zufrieden (Bemerkenswert ist die gute Versorgung.),6,sehr zufrieden (Herr Dr. Budde hat mich absolut umsichtig und freundlich aufgeklärt.),6,sehr zufrieden (Das gesamte Team war stets freundlich und hilfsbereit.),6,sehr zufrieden (Sehr sehr höflich und zuvorkommend.),6,sehr zufrieden (Freundliche Atmosphäre.),"Ich bin sehr dankbar dafür, dass mich Herr Dr. Stefan Budde operiert hat.",./.,Coxarthrose,nein,"Von der ersten Minute an bin ich ausgesprochen freundlich, professionell und zuvorkommend aufgeklärt, beraten, behandelt und betreut worden. Bis zu meinem Termin bei Herrn Dr. Budde war ich für eine Operation gar nicht zugänglich. Nach dem Gespräch hatte ich Vertrauen, Zuversicht und den Entschluss gefasst, mich operieren zu lassen. ",Happyhip7,berichtet als Patient,Jahr der Behandlung: 2021,Daumen hoch
Sophienklinik GmbH,,45 Bewertungen,Service unverschämt,11.10.2020,Plastische Chirurgie,0,unzufrieden (So eine schlechte Klinik habe ich noch nie erlebt/gesehen),0,unzufrieden (Bei der Anmeldung gab man mir Fehlinformationen),6,"sehr zufrieden (War ein externer Arzt, keiner aus der Klinik)",0,"unzufrieden (Fehlinformationen, Schimmel im Essen, Inkompetente Pfleger*innen)",0,"unzufrieden (Nichts auf dem Zimmer, Steckdosen 5m entfernt vom Bett etc.)",Mitarbeiter im OP-Bereich,Alles andere,Private Ästh. OP,ja,"Angefangen bei der Anmeldung, wo mir Besucher verboten worden sind (was wohl nicht rechtens war), hatte ich Schimmel im Essen. Zusätzlich wurden jegliche ärztliche Vorgaben (zB bei der Betreuung) ignoriert und zusätzlich unfreundlich behandelt. Nach der OP war ich bewegungsunfähig, mir wurde beim Essen nicht geholfen, sodass ich 3 Tage fast nichts gegessen habe. Die Zimmerausstattung ähnelt einer schlechten Pansion. ",LaVeR,berichtet als Patient,Jahr der Behandlung: 2020,Daumen runter
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift,,44 Bewertungen,Gute Versorgung,06.07.2019,Frauen,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,"Freundliches , kompetentes Pflegepersonal und Ärzte",Essen geht so,Hysterektomie,nein,"Gutes, kompetentes und freundliches Pflegepersonal! ",Sommer5457,berichtet als Patient,Jahr der Behandlung: 2019,Daumen hoch
KRH Klinikum Großburgwedel,,61 Bewertungen,Aufenthalt nach OP,20.02.2021,Chirurgie,2,weniger zufrieden,4,zufrieden,4,zufrieden,2,weniger zufrieden,2,weniger zufrieden,Die OP lief gut,Ausstattung müdes Personal,Schilddrüse,nein,Das Vorgespräch und der eigentliche Eingriff sind gut gelaufen.,Lemmih,berichtet als Patient,Jahr der Behandlung: 2021,Daumen runter
Asklepios Fachklinikum Göttingen,,62 Bewertungen,Mir wurde geholfen,03.01.2021,Psychiatrie,4,zufrieden,4,zufrieden,6,sehr zufrieden,6,sehr zufrieden,4,zufrieden,Pflegepersonal und Arzte Top,Essenaufnahme wurde im Sozialzentrum eingenommen,Depressionen,nein,"War Patient auf der 5.3. War dort 5 Wochen in Behandlung. Die Mitpatienetn, Pflegepersonal und Ärzte und Therapeuten haben eine tolle Arbeit abgeleistet. Mir wurde relativ schnell geholfen und kann die Station nur empfehlen.",andi19642,berichtet als Patient,Jahr der Behandlung: 2020,Daumen hoch
Augenklinik - Dr. Hoffmann,,23 Bewertungen,Inkompetente Beratung,28.07.2017,Augen,0,unzufrieden,0,unzufrieden,0,unzufrieden (Habe nicht bekommen),0,unzufrieden,0,unzufrieden,Schneller Termin,Inkompetenz,Arbeitsuntersuchung,nein,"Hallo, telefonische Beratung war inkompetent. Ich habe einen Termin vereinbart und habe gefragt, was ich für meine Arbeitsuntersuchung brauche. Wenn aber ich schon in der Klinik war, habe ich erfahren, dass ich noch einige Unterlagen brauche, die ich natürlich dabei nicht hatte. Darüber hat mir telefonisch nichts gesagt. Und in der Klinik wusste die Beratung selbst nicht, welche Leistungen sie anbieten.",Pepa2,berichtet als Patient,Jahr der Behandlung: 2017,Daumen runter
