Name der Klinik,Titel,Datum,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,Qualität der Beratung,Mediz. Behandlung,Verwaltung und Abläufe,Ausstattung und Gestaltung
Augenklinik Dr.Hoffmann,super Klinik,16.03.2021,Augen,"Meine Laser OP grauer Star hat super geklappt. Alles lief wie am SchnÃ¼rchen ab. Danke dafÃ¼r.
Danke auch an den neuen KÃ¼chenchef fÃ¼r das tolle BrÃ¶tchen.(war eine Ãberraschung)
Mit dem Shuttleservice war ich auch sehr zufrieden, sehr freundliche Fahrerrinnen.
Also die Klinik ist absolut weiter zu empfehlen.",sehr zufrieden,sehr zufrieden,sehr zufrieden,zufrieden,zufrieden
Augenklinik Dr.Hoffmann,Ich war sehr zufrieden mit allem,20.01.2021,Augen,Bin sehr zufrieden gewesen mit der Klinik und dem Personal. Die erste OP verlief sehr gut +die  zweite folgt in 3 Wochen. Werde die Klinik auf jeden Fall weiterempfehlen,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,Endlich wieder klare Sicht,16.11.2020,Augen,"Komptentes Ãrzteteam.
Strickte Einhaltung der Corona Schutzregeln.
Rundum zufrieden",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,Beste Augenklinik,22.03.2020,Augen,"Ich komme seit einen halben Jahr mit meiner behinderten Frau hier zum Augen-Spritzen auf Grund eines diabetischen Makulasyndroms. Ich kann bis jetzt nur positiv berichten - auch wenn das Wartezimmer sehr voll ist - waren wir immer sehr schnell dran und innerhalb einer Stunde fertig. Hier wird der Patient noch als Mensch betrachtet und nicht als Nummer, es wird mit Namen aufgerufen - Kinder mit Vornamen. Bei Behinderungen werden die Patienten von den immer netten Schwestern betreut und es wird geholfen. Von den Ãrzten bekommt man alles genau erklÃ¤rt - hier fÃ¼hlt man sich in guten HÃ¤nden - Danke an das gesamte Ãrzte und Schwesternteam.",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,ich war ringsherum zufrieden,14.11.2019,Augen,"Ich war Anfang November 2019 zur Augen-OP (Grauer Star)in der Klinik und zunÃ¤chst wegen negativer Meinungen voller Bedenken. 
Doch im Gegenteil! Sowohl beim Voruntersuchungstermin als auch am Tag der OP kÃ¼mmerte sich das gesamte Klinikpersonal nett und ausfÃ¼hrlich beratend um mich.
Besonders fÃ¼rsorglich und freundlich begegnete mir die AnÃ¤sthesieÃ¤rztin, die mir durch ihre beruhigende und verstÃ¤ndliche AufklÃ¤rung der auf mich zukommenden Ereignisse die Angst vor dem Eingriff nahm.",sehr zufrieden,sehr zufrieden,sehr zufrieden,zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,Akute und wiederholte Netzhautoperation,11.11.2019,Augen,"Trotz extrem hoher Patientenfrequenz erfolgte die Behandlung/Untersuchung in angemessener Zeit.  AusfÃ¼hrliche Untersuchung durch mehrere Ãrzte mit entsprechend verstÃ¤ndlicher und detaillierter AufklÃ¤rung Ã¼ber Behandlung- und OP-Verlauf.  Klinikaufenthalt durch akute Behandlung leider nur in Drei.Bettzimmer mÃ¶glich gewesen.  Dennoch versuchen sowohl Ãrzte aus auch das umsichtige und sehr nette Pflegepersonal den Aufenthalt den UmstÃ¤nden entsprechend angenehm zu machen.
Die postoperative Versorgung durch die Ãrzte ist vorbildlich.",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,weniger zufrieden
Augenklinik Dr.Hoffmann,Perfekte Klinik fÃ¼r Augenerkrankte!,30.07.2019,Augen,"Diese Klinik ist NUR zu empfehlen!!! Das gesamte Team: Ãrzte, Helferinnen, Pflege- und Hauswirtschaftspersonal arbeiten ausnahmslos professionell!!!
Nach insgesamt 14 Tagen Aufenthalt kann ich sagen, NICHT ein unfreundliches Wort, absolut engmaschige Ã¤rztliche und pflegerische Betreuung!!!
Jederzeit wÃ¼rde ich mich wieder an die Augenklinik wenden!!!",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,Hohe Kompetenz und Freundlichkeit!!,23.07.2019,Augen,"Sehr nettes und kompetentens Personal!! Kurze Wartezeiten trotz hoher Frequentierung. Gute AufklÃ¤rung durch die Ãrzte!!!! Im OP- Bereich nette, heitere und gelassene AtmosphÃ¤re trotz Stress. Meine Mutter fÃ¼hlt sich dort als Mensch und nicht nur als Patient und Nummer!! Alle Mitarbeiter sehr geschult und emphatisch!",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,Gute Behandlung,08.01.2019,Augen,"Freundliches Personal, keine lange Wartezeit, kompetente Behandlung",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden
Augenklinik Dr.Hoffmann,"Nette Arzthelferinnen, unangenehme Ãrztinnen",31.10.2018,Augen,"Dass es bei einer offenen Sprechstunde einer Augenklinik zu langen Wartezeiten kommt, ist verstÃ¤ndlich, trotzdem ist es toll, dass es so eine MÃ¶glichkeit gibt. Allerdings war ich nach zwei Stunden Warten auf einer Bank oberhalb einer zugigen Treppe schon sehr durchgefroren.
Die Arzthelferinnen wirkten freundlich, die beiden dann untersuchenden Ãrztinnen leider gar nicht. Kaum AufklÃ¤rung, meine drei SÃ¤tze die ich zur Anamnese sagen wollte, schienen uninteressant, es wurde kein einziges Mal gelÃ¤chelt. Fragen von mir am Ende wurden teilweise sehr gereizt aufgenommen. Geantwortet wurde z.T. mit genervten rhetorischen Gegenfragen. Es war keine angenehme AtmosphÃ¤re und ich traute mich am Ende gar nicht mehr, alle meine Fragen loszuwerden. 
Ja, Ãrzte haben oft wenig Zeit und einen stressigen Job. Trotzdem gibt es Ãrzte, die den Patienten mit Respekt und Empathie begegnen und sogar fragen, ob es noch Fragen gibt. 
Letztlich sind Ãrzte nach Patientenrechtegesetz auch einfach verpflichtet Ã¼ber Diagnose, Prognose, BehandlungsmÃ¶glichkeiten usw. aufzuklÃ¤ren, und den Patienten zu ermÃ¶glichen, Fragen zu stellen, bis sie alles verstanden haben. Schade, dass das so oft auf der Strecke bleibt.
Dazu muss ich sagen, dass ich schon einmal bei einem polnischem Arzt in derselben Klinik war. Dieser war tatsÃ¤chlich sehr nett und wirkte Ã¼berhaupt nicht genervt von Fragen.",weniger zufrieden,unzufrieden,weniger zufrieden,zufrieden,zufrieden
