K_ID,Klinik Name,Name der Klinik,Titel,Datum,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,Qualität der Beratung,Mediz. Behandlung,Verwaltung und Abläufe,Ausstattung und Gestaltung,sentiment,sentimentBewertung
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,super Klinik,16.03.2021,Augen,"Meine Laser OP grauer Star hat super geklappt. Alles lief wie am Schnürchen ab. Danke dafür.Danke auch an den neuen Küchenchef für das tolle Brötchen.(war eine Überraschung)Mit dem Shuttleservice war ich auch sehr zufrieden, sehr freundliche Fahrerrinnen.Also die Klinik ist absolut weiter zu empfehlen.",sehr zufrieden,sehr zufrieden,sehr zufrieden,zufrieden,zufrieden,"Sentiment(polarity=0.2875, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Ich war sehr zufrieden mit allem,20.01.2021,Augen,Bin sehr zufrieden gewesen mit der Klinik und dem Personal. Die erste OP verlief sehr gut +die  zweite folgt in 3 Wochen. Werde die Klinik auf jeden Fall weiterempfehlen,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,"Sentiment(polarity=0.3333333333333333, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Endlich wieder klare Sicht,16.11.2020,Augen,Komptentes Ärzteteam.Strickte Einhaltung der Corona Schutzregeln.Rundum zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Beste Augenklinik,22.03.2020,Augen,"Ich komme seit einen halben Jahr mit meiner behinderten Frau hier zum Augen-Spritzen auf Grund eines diabetischen Makulasyndroms. Ich kann bis jetzt nur positiv berichten - auch wenn das Wartezimmer sehr voll ist - waren wir immer sehr schnell dran und innerhalb einer Stunde fertig. Hier wird der Patient noch als Mensch betrachtet und nicht als Nummer, es wird mit Namen aufgerufen - Kinder mit Vornamen. Bei Behinderungen werden die Patienten von den immer netten Schwestern betreut und es wird geholfen. Von den Ärzten bekommt man alles genau erklärt - hier fühlt man sich in guten Händen - Danke an das gesamte Ärzte und Schwesternteam.",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,"Sentiment(polarity=0.30666666666666664, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,ich war ringsherum zufrieden,14.11.2019,Augen,"Ich war Anfang November 2019 zur Augen-OP (Grauer Star)in der Klinik und zunächst wegen negativer Meinungen voller Bedenken. Doch im Gegenteil! Sowohl beim Voruntersuchungstermin als auch am Tag der OP kümmerte sich das gesamte Klinikpersonal nett und ausführlich beratend um mich.Besonders fürsorglich und freundlich begegnete mir die Anästhesieärztin, die mir durch ihre beruhigende und verständliche Aufklärung der auf mich zukommenden Ereignisse die Angst vor dem Eingriff nahm.",sehr zufrieden,sehr zufrieden,sehr zufrieden,zufrieden,sehr zufrieden,"Sentiment(polarity=0.30833333333333335, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Akute und wiederholte Netzhautoperation,11.11.2019,Augen,Trotz extrem hoher Patientenfrequenz erfolgte die Behandlung/Untersuchung in angemessener Zeit.  Ausführliche Untersuchung durch mehrere Ärzte mit entsprechend verständlicher und detaillierter Aufklärung über Behandlung- und OP-Verlauf.  Klinikaufenthalt durch akute Behandlung leider nur in Drei.Bettzimmer möglich gewesen.  Dennoch versuchen sowohl Ärzte aus auch das umsichtige und sehr nette Pflegepersonal den Aufenthalt den Umständen entsprechend angenehm zu machen.Die postoperative Versorgung durch die Ärzte ist vorbildlich.,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,weniger zufrieden,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Perfekte Klinik für Augenerkrankte!,30.07.2019,Augen,"Diese Klinik ist NUR zu empfehlen!!! Das gesamte Team: Ärzte, Helferinnen, Pflege- und Hauswirtschaftspersonal arbeiten ausnahmslos professionell!!!Nach insgesamt 14 Tagen Aufenthalt kann ich sagen, NICHT ein unfreundliches Wort, absolut engmaschige ärztliche und pflegerische Betreuung!!!Jederzeit würde ich mich wieder an die Augenklinik wenden!!!",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,"Sentiment(polarity=0.16999999999999998, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Hohe Kompetenz und Freundlichkeit!!,23.07.2019,Augen,"Sehr nettes und kompetentens Personal!! Kurze Wartezeiten trotz hoher Frequentierung. Gute Aufklärung durch die Ärzte!!!! Im OP- Bereich nette, heitere und gelassene Atmosphäre trotz Stress. Meine Mutter fühlt sich dort als Mensch und nicht nur als Patient und Nummer!! Alle Mitarbeiter sehr geschult und emphatisch!",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,"Sentiment(polarity=0.5916666666666667, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,Gute Behandlung,08.01.2019,Augen,"Freundliches Personal, keine lange Wartezeit, kompetente Behandlung",sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,sehr zufrieden,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,augenklinik-dr-hoffmann,Augenklinik Dr.Hoffmann,"Nette Arzthelferinnen, unangenehme Ärztinnen",31.10.2018,Augen,"Dass es bei einer offenen Sprechstunde einer Augenklinik zu langen Wartezeiten kommt, ist verständlich, trotzdem ist es toll, dass es so eine Möglichkeit gibt. Allerdings war ich nach zwei Stunden Warten auf einer Bank oberhalb einer zugigen Treppe schon sehr durchgefroren.Die Arzthelferinnen wirkten freundlich, die beiden dann untersuchenden Ärztinnen leider gar nicht. Kaum Aufklärung, meine drei Sätze die ich zur Anamnese sagen wollte, schienen uninteressant, es wurde kein einziges Mal gelächelt. Fragen von mir am Ende wurden teilweise sehr gereizt aufgenommen. Geantwortet wurde z.T. mit genervten rhetorischen Gegenfragen. Es war keine angenehme Atmosphäre und ich traute mich am Ende gar nicht mehr, alle meine Fragen loszuwerden. Ja, Ärzte haben oft wenig Zeit und einen stressigen Job. Trotzdem gibt es Ärzte, die den Patienten mit Respekt und Empathie begegnen und sogar fragen, ob es noch Fragen gibt. Letztlich sind Ärzte nach Patientenrechtegesetz auch einfach verpflichtet über Diagnose, Prognose, Behandlungsmöglichkeiten usw. aufzuklären, und den Patienten zu ermöglichen, Fragen zu stellen, bis sie alles verstanden haben. Schade, dass das so oft auf der Strecke bleibt.Dazu muss ich sagen, dass ich schon einmal bei einem polnischem Arzt in derselben Klinik war. Dieser war tatsächlich sehr nett und wirkte überhaupt nicht genervt von Fragen.",weniger zufrieden,unzufrieden,weniger zufrieden,zufrieden,zufrieden,"Sentiment(polarity=0.07916666666666665, subjectivity=0.21944444444444444)",Positiv
