Name der Klinik,Textuelle Bewertung,Sternebewertung,Datum der Bewertung,Likes,sentiment,sentimentBewertung
Augenklinik Dr.Hoffmann,Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Sehr freundliches Personal!  und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.,5,vor einer Woche,1,"Sentiment(polarity=0.67, subjectivity=0.08)",Positiv
Augenklinik Dr.Hoffmann,"Ich war bereits aufgrund von Notfällen   in der Augenklinik von DR. Hoffmann und habe nur beste Erfahrungen gesammelt.****Heute war ich selbst an der Reihe und hatte einen Notfall, da ich spitzen und scharfen Splitter ins auge bekommen hatte. Ich wurde bereits am telefon bestens beraten und aufgefordert schnellstmöglichst zu kommen.****Alles fand unter erstklassigen corona schutzbedingungen statt und die Sprechstunden waren sehr freundlich. Ich musste zwar ein wenig warten, doch ich wurde stets informiert, wann es so weit sein würde.****Diesmal wurde ich von einer freundlichen und hübschen Ärztin behandelt, die einen erstklassigen Job machte.",5,vor einem Monat,1,"Sentiment(polarity=0.3333333333333333, subjectivity=0.16666666666666666)",Positiv
Augenklinik Dr.Hoffmann,"Hier arbeiten Spezialisten. Super kompetent. Alle sind freundlich und nehmen sich die Zeit, die wir Patienten brauchen. Jederzeit wieder!",5,vor 3 Tagen,1,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Ich kann nur gutes berichten.,5,vor einem Monat,1,"Sentiment(polarity=0.11666666666666665, subjectivity=0.13333333333333333)",Positiv
Augenklinik Dr.Hoffmann,"Zunächst erst einmal gibt es ein ganz tolles Vorbereitunsperdonal. Die Ärztinnen und Ärzte haben nochmals genau erklärt, was sie tun wollen. Nach der OP gute Nachsorge. Sehr zufrieden.",5,vor einer Woche,1,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Sehr gute Klinik und ich habe kaum Wartezeit erlebt, obwohl viele sich darüber beschweren! Richtig freundliches Personal und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.",5,vor einem Monat,1,"Sentiment(polarity=0.6666666666666666, subjectivity=0.16666666666666666)",Positiv
Augenklinik Dr.Hoffmann,Die Betreuung und Versorgung vor und nach der OP (grauer Star) war hervorragend. Das Ergebnis hat all meine Erwartungen bis jetzt übertroffen. Ich würde bei Bedarf jederzeit wieder die Augenklinik Dr. Hoffmann wählen.,5,vor 3 Wochen,1,"Sentiment(polarity=0.05000000000000001, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,Sehr gute Klinik und freundliches Personal! Fühle mich hier richtig gut aufgehoben. Immer gute Aufklärung und kompetente Hilfe.,5,vor einem Monat,1,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
Augenklinik Dr.Hoffmann,"Da ich telefonisch keinen Kontakt bekam,, begab ich mich persönlich zur Sprechstunde. Ich kam als „Notfall“ am Freitag kurz vor dem Wochenende.Das Team war sehr freundlich, ich wurde gründlich untersucht und auch der Arzt war sehr kompetent und führte den kleinen Eingriff schmerzfrei durch.Obwohl relativ viele Patienten noch vor Ort waren, verlief der gesamte Aufenthalt äußerst koordiniert und sehr schnell. Gern wieder beim nächsten Problem 👍",5,vor 3 Monaten,1,"Sentiment(polarity=0.2611111111111111, subjectivity=0.05555555555555555)",Positiv
Augenklinik Dr.Hoffmann,"Ich war bisher 2 mal in der Augenklinik in der Sprechstunde. Ich fühlte mich bisher beide male dort gut aufgehoben und beraten. Alle Mitarbeiter dort waren freundlich, trotz dass viel los war. Auch die Augenärztin die mich untersucht hat war Top. Ich würde gründlich untersucht. Ich werde weiterhin zur Augenklinik gehen. Mit Bus und Straßenbahn gut zu erreichen.",5,vor 4 Monaten,1,"Sentiment(polarity=0.6428571428571429, subjectivity=0.07142857142857142)",Positiv
Augenklinik Dr.Hoffmann,"Gute Behandlung; kaum Wartezeiten. Etwas unruhiger/enger OP-Bereich, aber alles sehr professionell.",4,vor einem Monat,1,"Sentiment(polarity=0.75, subjectivity=0.25)",Positiv
Augenklinik Dr.Hoffmann,"Mit diesen Zeilen möchte sich meine Frau herzlich bedanken. Dass Erste was sie sagte war, dass sie seit langer Zeit wieder so einen blauen Himmel sah !",5,vor einem Monat,1,"Sentiment(polarity=0.425, subjectivity=0.0)",Positiv
