K_ID,Name_der_Klinik,Sternbewertung,Datum_der_Bewertung,Likes,Textuelle_Bewertung,Unnamed: 6,sentiment,sentimentBewertung
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 2 Tagen,0,"Zunächst erst einmal gibt es ein ganz tolles Vorbereitunsperdonal. Die Ärztinnen und Ärzte haben nochmals genau erklärt, was sie tun wollen. Nach der OP gute Nachsorge. Sehr zufrieden.",,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,"Ich war bereits aufgrund von Notfällen   in der Augenklinik von DR. Hoffmann und habe nur beste Erfahrungen gesammelt.

Heute war ich selbst an der Reihe und hatte einen Notfall, da ich spitzen und scharfen Splitter ins auge bekommen hatte. Ich wurde bereits am telefon bestens beraten und aufgefordert schnellstmöglichst zu kommen.

Alles fand unter erstklassigen corona schutzbedingungen statt und die Sprechstunden waren sehr freundlich. Ich musste zwar ein wenig warten, doch ich wurde stets informiert, wann es so weit sein würde.

Diesmal wurde ich von einer freundlichen und hübschen Ärztin behandelt, die einen erstklassigen Job machte.",,"Sentiment(polarity=0.3333333333333333, subjectivity=0.16666666666666666)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,Ich wurde sehr zuvorkommend behandelt und hatte tatsächlich überhaupt keine Wartezeiten. Auch der Eingriff selbst war ohne Komplikationen und Nachwirkungen. Ich kann nur gutes berichten.,,"Sentiment(polarity=0.11666666666666665, subjectivity=0.13333333333333333)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,"Sehr gute Klinik und ich habe kaum Wartezeit erlebt, obwohl viele sich darüber beschweren! Richtig freundliches Personal und gute Aufklärung von Ärzten. Kann nur weiter empfehlen.",,"Sentiment(polarity=0.6666666666666666, subjectivity=0.16666666666666666)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 2 Wochen,0,Die Betreuung und Versorgung vor und nach der OP (grauer Star) war hervorragend. Das Ergebnis hat all meine Erwartungen bis jetzt übertroffen. Ich würde bei Bedarf jederzeit wieder die Augenklinik Dr. Hoffmann wählen.,,"Sentiment(polarity=0.05000000000000001, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,Sehr gute Klinik und freundliches Personal! Fühle mich hier richtig gut aufgehoben. Immer gute Aufklärung und kompetente Hilfe.,,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 3 Monaten,1,"Da ich telefonisch keinen Kontakt bekam,, begab ich mich persönlich zur Sprechstunde. Ich kam als „Notfall“ am Freitag kurz vor dem Wochenende.Das Team war sehr freundlich, ich wurde gründlich untersucht und auch der Arzt war sehr kompetent und führte den kleinen Eingriff schmerzfrei durch.Obwohl relativ viele Patienten noch vor Ort waren, verlief der gesamte Aufenthalt äußerst koordiniert und sehr schnell. Gern wieder beim nächsten Problem 👍",,"Sentiment(polarity=0.2611111111111111, subjectivity=0.05555555555555555)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 4 Monaten,0,"Ich war bisher 2 mal in der Augenklinik in der Sprechstunde. Ich fühlte mich bisher beide male dort gut aufgehoben und beraten. Alle Mitarbeiter dort waren freundlich, trotz dass viel los war. Auch die Augenärztin die mich untersucht hat war Top. Ich würde gründlich untersucht. Ich werde weiterhin zur Augenklinik gehen. Mit Bus und Straßenbahn gut zu erreichen.",,"Sentiment(polarity=0.6428571428571429, subjectivity=0.07142857142857142)",Positiv
1,Augenklinik Dr. Hoffmann, 4 Sterne ,vor 3 Wochen,0,"Gute Behandlung; kaum Wartezeiten. Etwas unruhiger/enger OP-Bereich, aber alles sehr professionell.",,"Sentiment(polarity=0.75, subjectivity=0.25)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,"Mit diesen Zeilen möchte sich meine Frau herzlich bedanken. Dass Erste was sie sagte war, dass sie seit langer Zeit wieder so einen blauen Himmel sah !",,"Sentiment(polarity=0.425, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,"Hallo zusammen,
die Sehschule in Ihrer Klinik, ist sehr kompetent und sehr nett im Umgang der Patientin und Patienten. Ein Lob einmal für Frau Behrends! Vielen Lieben Dank für Ihre Mühe.",,"Sentiment(polarity=0.6666666666666666, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 7 Monaten,0,Ich war letzte Woche mit meinem Sohn (4) dort gewesen und diesmal auch mit Termin und es ging alles sehr zügig.. Schneller als gedacht.. Wirklich freundliches Personal auch in Bezug auf meinen kleinen...Er  hat sich echt wohl gefühlt.. Kein Theater und hat alles mitgemacht und das alles trotz der aktuellen Situation..Wir waren vor ca 2 Jahren auch schon mal da..damals in der offenen Sprechstunde aber auch da waren Wartezeiten voll im Rahmen..Kann die Augenklinik nur empfehlen.. Weiter so,,"Sentiment(polarity=0.40625, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 2 Monaten,0,"Gesamtes Team sehr nett und aufmerksam.
Auf meine Bedürfnisse mit Verständnis eingegangen und mir zur Seite gestanden.",,"Sentiment(polarity=0.5, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 6 Monaten,0,"Die Augenklinik Dr. Hoffmann ist nur zu empfehlen. Es gab bei meinen Besuchen und meiner OP keine Komplikationen oder längere Wartezeiten. Alle Mitarbeiter sind sehr nett. Es sind zwar immer viele Patienten vor Ort, aber es ist ein guter und schneller Ablauf!",,"Sentiment(polarity=0.6416666666666666, subjectivity=0.08333333333333333)",Positiv
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 2 Monaten,1,"Am liebsten würde ich garkein Stern geben! Dieser Laden ist Betrug. Wir wurden angelogen und mehrmals verarscht! Am schlimmsten ist, dass Arzt und Schwestern komplett unterschiedliche Sachen erzählen!",,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 1 Stern ,vor 6 Monaten,1,"MUTTER WIRD RAUSGESCHMISSEN WEGEN MANGEL AN BETREUUNG.

Durch die ganze Corona krise war das Personal der Meinung mich trotz Termin nicht meinen Termin wahrnehmen lassen zu können. Ich war mit meiner Tochter dort, weshalb sie mich nicht reingelassen haben. sie waren der Meinung das Kind könnte nicht alleine draußen warten und dürfte auch nicht mit reinkommen.
Meine Tochter hat noch keinen kitaplatz deshalb ich sie auch nicht abgeben konnte. Meine anfahrtszeit beträgt ca anderthalb Stunden und dies alles umsonst.",,"Sentiment(polarity=0.0, subjectivity=0.0)",Neutral
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 5 Monaten,1,"Ich hatte einen Termin mit meinem 5-jährigen Sohn, mit dessen Behandlung ich bei einem anderen Arzt nicht zufrieden war ( 2 Brillen innerhalb von 3 Monaten, widersprüchlicher Sehtest... ). Ich bekam recht zügig einen Termin, wurde ernst genommen und alle MA waren sehr freundlich. Es hat zwar etwas Wartezeit gekostet, aber mein Sohn wurde sehr sehr gründlich untersucht ( und braucht auch keine Brille mehr ).",,"Sentiment(polarity=0.5, subjectivity=0.16666666666666666)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,"Ich habe an beiden Augen die natürliche Linse durch Bi-Fokale-Linsen ersetzen lassen.
In der Augenklinik wurde ich sehr professionell beraten.
Die OP verlief sehr unkompliziert und problemlos. Das Personal ist sehr freundlich. Ich bin rundum zufrieden.",,"Sentiment(polarity=0.33999999999999997, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 3 Wochen,0,"Guten Tag liebes Op Team ! Ich bin wirklich richtig zufrieden   Mein erstes Auge wurde sehr gut operiert und nun das zweite auch hier , sehr gut. Trotz Wartezeit, aber wir wurden nett unterhalten im Vorraum zum Operationssaal. Sehr nette Schwestern und der lustige Anästhesiepfleger Alexander haben mir die Angst  genommen. Weiterhin ist die Anästhesistin zu erwähnen , Frau Wegener? Ich habe leider den Namen vergessen. So aufmerksam und zugewandt, das habe ich in meiner Krankheitslaufbahn, sehr selten erlebt. Wirklich sehr sehr nett. Auch die Schwestern im Wartezimmer waren wirklich nett. Operiert hat mich Dr. Geck, es gab auch während der Op noch lustige Kommentare! Vielen lieben Dank.
Was vielleicht noch wichtig ist , an beiden Tagen gab es nach der Operation etwas zu essen. Auch hier : lecker und gut. Vielen Dank für ihre Arbeit.",,"Sentiment(polarity=0.7142857142857143, subjectivity=0.07142857142857142)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,0,"Nettes und freundliches Personal, nach kurzem Eingriff kann ich wieder alles in HD sehen.
Vielen dank!!!!",,"Sentiment(polarity=0.3333333333333333, subjectivity=0.3333333333333333)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einem Monat,1,"Sehr geehrte Damen und Herren,

am 11.11.2020 besuchte ich Ihre Klinik auf Empfehlung meines Augenarztes Dr. Geiger, WF, um meine Augen untersuchen zu lassen; als ich das volle Wartezimmer sah, rechnete ich mit mehreren Stunden Wartezeit! Angenehm überrascht war ich, als man mich nach 5 Minuten in das Behandlungszimmer rief, wo ich freundlich von den jungen Damen empfangen wurde und nacheinander an diversen Geräten untersucht wurde; durch einen Tremor war es mir kaum möglich, den Kopf ruhig zu halten, doch auch hier zeigten sich Ihre Mitarbeiterinnen als sehr hilfsbereit! Ein besonderer Dank geht an Frau Walentowski, die mir zum Abschluß der Untersuchung in verständlichen Worten erklärte, was bei einer Augen-OP geschieht.

Die erste OP war am 27.11 + 28.11.2020; auch hier wurde ich freundlich von den Schwestern und dem OP- Team empfangen und auf die OP vorbereitet, die dann bereits nach ca`5 Minuten vorbei war, während ich immer noch auf`s ""zertrümmern und absaugen"" der alten Linse wartete!!! Der Nachmittag, der Abend und die Nacht bei Ihnen verliefen ruhig.  (Bemerkung: Das Abendbrot war sehr knapp, wurde aber von der Schwester nachgebessert). Am nächsten Morgen war die Spannung groß, als der Verband entfernt Wurde. Großes Staunen meinerseits: Helles, klares Sehen, wie ich es nicht mehr kannte!

Am 20.01.2021 erfolgte die 2. OP; hier kann ich es kurz machen: Alle positiven Merkmale der 1. OP trafen auch hier zu!

Ich beglückwünsche Sie zu diesen Mitarbeiterinnen und Mitarbeitern angrfangen beim Fahrpersonal über die Reinigungskraft, die Schwestern, das OP - Team, den Oberarzt und den Chefarzt und werde meine guten Erfahrungen an meinen Bekannten- und Freundeskreis weitergeben.",,,
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 5 Monaten,0,Ich habe mich stets gut beraten gefühlt. Das Personal war äußerst zuvorkommend und freundlich. Ich würde meine OP jederzeit weiterempfehlen. Tolles Team.,,"Sentiment(polarity=0.7125, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 8 Monaten,0,"Zu allererst möchte ich sagen das die Organisation trotz Corona sehr gut funktioniert hat. Da können sich einige eine Scheibe von abschneiden.
Die Beratung durch den Arzt empfand ich als sehr kompetent.
Er beantworte alle meine Fragen und wirkte nicht gehetzt. Endlich mal jemand der sich Zeit genommen hat.
Die Helferinnen den ich in der Anmeldung, Untersuchung und im Arztzimmer begegnete waren alle sehr freundlich, was mir sehr gefiel.
Kann diese Praxis nur weiter empfehlen.
Man merkte insgesamt eine gute Stimmung vor Ort was mir positiv auffiel.",,"Sentiment(polarity=0.625, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 7 Monaten,0,Ich war mit einer Entzündung am Freitag in der offenen Sprechstunde. Klasse wie zügig der Ablauf war. Im Eingangsbereich eine junge Frau die mich bat Hände zu desinfizieren und weiterleitete zum Wartebereich. Kurze Zeit später ging es schon zur Ärztin. Auch dort sehr freundlich und mir zu gewandt. Hab mich gut aufgehoben gefühlt. Wird jetzt meine zukünftige Anlaufstelle bei Augenproblemen. Vielen Dank.,,"Sentiment(polarity=0.55, subjectivity=0.125)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor 3 Monaten,0,Sehr gutes und freundliches Personal würde am grauen Star operiert kann wieder ohne Brille wieder hervorragend gucken Danke,,"Sentiment(polarity=0.43333333333333335, subjectivity=0.0)",Positiv
1,Augenklinik Dr. Hoffmann, 5 Sterne ,vor einer Woche,0,Sehr gute und persönliche Betreuung!,,"Sentiment(polarity=1.0, subjectivity=0.0)",Positiv
